title,artist
Language,Porter Robinson
Strobe - Radio Edit,deadmau5
Seek Bromance (Avicii Vocal Edit) - Avicii Vocal Edit,Tim Berg
Poison,Martin Garrix
Take Over Control - Radio Edit,Afrojack
Teenage Crime - Axwell & Henrik B Remode,Adrian Lux
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer
Turn Me Up - ViP Mix,MOTi
Together,Martin Garrix
Whatcha Need,W&W
Levels - Radio Edit,Avicii
Faded,Alan Walker
Move for Me,Kaskade
Turn up the Speakers - Radio Edit,Afrojack
Counting Down The Days - Yotto Edit,Above & Beyond
Summer Dreams,Michael Brun
Changes - Dirty South Remix,Chris Lake Feat. Laura V
Heroes (we could be),Alesso
Everything,R3hab
Lean On (feat. MØ & DJ Snake),Major Lazer
Starlight - Radio Mix,SOVI
City Of Dreams - Radio Edit,Dirty South
Chords Of Life - Original Mix,Tim Mason
Blackout - Madison Mars Radio Mix,Tritonal
Freak,Friction
Skyscrapers,Daydreamer
Chemicals - Radio Edit,Tiësto
Run Wild - Alternative Edit Mix Cut,Hardwell
Blackout,Pegboard Nerds
Rock The House - Radio Edit,Afrojack
Sweet Memories,CID
Borrowed Lives (feat. NVDES),Pierce Fulton
Concrete Angel (Radio Edit) (feat. Christina Novelli),Gareth Emery
Yebisah,Mark Knight
Otherside,Suyano
Falling Back - Radio Edit,Cosmic Gate
Fireflies,Owl City
Good Time,Owl City
When Can I See You Again?,Owl City
Verge,Owl City
Vanilla Twilight,Owl City
You Make Me Wanna...,Usher
Can't You See,Total
Lost Without U,Robin Thicke
'Till I Collapse,Eminem
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky
Calm Down,G-Eazy
Remember The Name (feat. Styles Of Beyond),Fort Minor
Mind Tricks,Bassnectar
Help,Papa Roach
Follow You,Bring Me The Horizon
Snow Cats,AFI
Paranoia,A Day To Remember
Hated,Beartooth
Shock Me,Baroness
The Devil's Bleeding Crown,Volbeat
Go Down in History,Four Year Strong
Serpents,Neck Deep
Black Honey,Thrice
Chop Suey!,System Of A Down
Something To Believe In,Young the Giant
She Hates Me,Puddle Of Mudd
Don't Threaten Me With A Good Time,Panic! At The Disco
Sex on Fire,Kings of Leon
Cold,Maroon 5
It Ain't Me (with Selena Gomez),Kygo
Bring Me the Night,Sam Tsui feat. Kina Grannis
Crush,David Archuleta
Song 2 You,Victorious Cast
L.A. Boyz,Victorious Cast feat. Victoria Justice and Ariana Grande
Faster than Boyz,Victorious Cast
Bad Boys,Victorious Cast
"Too Little, Too Late",JoJo
Fast Car (feat. Kina Grannis),Kina Grannis
In Your Arms,Kina Grannis
Valentine,Kina Grannis
The One You Say Goodnight To,Kina Grannis
Gone,Kina Grannis
Strong Enough,Kina Grannis
Without Me,Kina Grannis
L.A. Story,Sammy Adams
Something About the Sunshine,Anna Margaret
Like Nobody's Around,Big Time Rush
Amazing,Big Time Rush
Boyfriend,Big Time Rush
Worldwide,Big Time Rush
Big Time Rush,Big Time Rush
Popular Song,MIKA
All About Tonight - featuring Cymphonique Miller,How To Rock Cast
Count On You,Big Time Rush
I Know You Know,Big Time Rush
Bring It All to Me,Blaque
Too Close,Next
I'm So Into You,SWV
Don't Let Go (Love),En Vogue
Candy Rain,Soul For Real
Wifey,Next
On Bended Knee,Boyz II Men
Get It On Tonite,Montell Jordan
End Of The Road,Boyz II Men
I'll Make Love To You,Boyz II Men
Water Runs Dry,Boyz II Men
A Song For Mama,Boyz II Men
Together Again,Janet Jackson
Someone To Call My Lover,Janet Jackson
Escapade,Janet Jackson
Bye Bye Bye,*NSYNC
This I Promise You - Radio Edit,*NSYNC
It's Gonna Be Me,*NSYNC
God Must Have Spent a Little More Time on You - Remix,*NSYNC
I Want You Back - Radio Edit,*NSYNC
Pop - Radio Version,*NSYNC
Tearin' up My Heart - Radio Edit,*NSYNC
As Long as You Love Me,Backstreet Boys
Quit Playing Games (With My Heart),Backstreet Boys
I'll Never Break Your Heart,Backstreet Boys
All I Have to Give,Backstreet Boys
The Call,Backstreet Boys
I Want It That Way,Backstreet Boys
Show Me the Meaning of Being Lonely,Backstreet Boys
Shape of My Heart,Backstreet Boys
I'll Be Missing You (feat. 112),Diddy
I Need A Girl (Part One) (feat. Usher & Loon),Diddy
Where the Party At,Jagged Edge
I Wanna Know,Joe
Stay,Ne-Yo
So Sick,Ne-Yo
When You're Mad,Ne-Yo
Sexy Love,Ne-Yo
All My Life,K-Ci & JoJo
Take Me There - Remix,Blackstreet
MMMBop,Hanson
Case Of The Ex (Whatcha Gonna Do),Mýa
My Love Is Like...Wo - Main Mix/Album Version,Mýa
Angel of Mine - Radio Mix,Monica
For You I Will,Monica
Two Wrongs,Wyclef Jean
Take Me As I Am,Wyclef Jean
Sweetest Girl (Dollar Bill),Wyclef Jean
Slow Jam,Usher
Ironic - 2015 Remastered,Alanis Morissette
U Got It Bad,Usher
My Boo,Usher
Don't Love You No More (I'm Sorry),Craig David
Let Me Love You,Mario
Just a Friend 2002 - Radio Edit,Mario
Say My Name,Destiny's Child
"Jumpin', Jumpin'",Destiny's Child
"Independent Women, Pt. I",Destiny's Child
"Bills, Bills, Bills",Destiny's Child
No More (Baby I'ma Do Right),3LW
Summer Is Over feat. Sara Bareilles,Jon McLaughlin
Beautiful Disaster,Jon McLaughlin
Human,Jon McLaughlin
So Close,Jon McLaughlin
In Love With a Girl,Gavin DeGraw
Simple Love Song,Anuhea
Honeymoon Avenue,Ariana Grande
Tattooed Heart,Ariana Grande
Almost Is Never Enough,Nathan Sykes
Perfect Harmony,Rags Cast
Pyramid (feat. Iyaz),Charice
Best Friend,Jason Chen
Over And Over Again,Nathan Sykes
Put Your Arms Around Me,Natasha Bedingfield
Try Everything,Shakira
Starving,Hailee Steinfeld
I Dare You,Bea Miller
Force of Nature,Bea Miller
Perfect Picture,Bea Miller
Tangled Up In Me,Skye Sweetnam
Why Can't I?,Liz Phair
God Is a DJ,P!nk
Save My Soul,JoJo
Mad Love.,JoJo
Secret Love,JoJo
Dear No One,Tori Kelly
First Heartbreak,Tori Kelly
Video,India.Arie
"Beauty and the Beast - From ""Beauty and the Beast""",Ariana Grande
I2I,Tevin Campbell
Confetti Falling,Big Time Rush
You Gotta Be,Des'ree
Can't Blame a Girl for Trying,Sabrina Carpenter
Eyes Wide Open,Sabrina Carpenter
"Wildside - From ""Adventures in Babysitting""",Sofia Carson
Can I Have This Dance,High School Musical Cast
Hold On,Wilson Phillips
Be My Baby,Bea Miller
Photograph (feat. Bea Miller),Boyce Avenue
Closer (feat. Sarah Hyland),Boyce Avenue
"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",Hailee Steinfeld
From This Moment On,Shania Twain
You're Still The One,Shania Twain
Everywhere,Michelle Branch
Just The Girl,The Click Five
Pieces Of Me,Ashlee Simpson
She Looks So Perfect,5 Seconds of Summer
She's Kinda Hot,5 Seconds of Summer
Billie Jean,Michael Jackson
Beat It - Single Version,Michael Jackson
Black or White - Single Version,Michael Jackson
The Way You Make Me Feel,Michael Jackson
Man In The Mirror,Michael Jackson
P.Y.T. (Pretty Young Thing),Michael Jackson
Ultimate,Lindsay Lohan
If I Were a Boy,Beyoncé
With You,Chris Brown
Forever,Chris Brown
A Thousand Years,Christina Perri
Gave Me Something,Jess Glynne
Hold My Hand,Jess Glynne
"When Will My Life Begin - From ""Tangled""/Soundtrack Version",Mandy Moore
"I See the Light - From ""Tangled""/Soundtrack Version",Mandy Moore
Torn,Natalie Imbruglia
Ain't Nobody,Chaka Khan
Dreams,The Cranberries
I Knew I Loved You,Savage Garden
Un-Break My Heart,Toni Braxton
Breathe Again,Toni Braxton
You're Makin' Me High,Toni Braxton
My Little Secret,Xscape
One Of Those Love Songs,Xscape
Softest Place On Earth,Xscape
The Arms of the One Who Loves You,Xscape
He Wasn't Man Enough,Toni Braxton
Secret Love Song,Little Mix
I Can't Fall in Love Without You,Zara Larsson
Lost Boy,Ruth B.
Yesterday,Atmosphere
Honest,Joseph
When Will I Learn,Kina Grannis
Lady Brain,The Harmaleighs
Cleopatra,The Lumineers
Heavy,Birdtalker
Celeste,Ezra Vine
Don't Say,Lullanas
Like Home,Colin & Caroline
I Know,Sammy Brue
Adventurers,Holley Maher
Back to You,WILD
Memorial Day,The Accidentals
Fire,Majozi
I Keep Ticking On,The Harmaleighs
Automatic,Castro
Ohio - filous Remix,Damien Jurado
I Took A Pill In Ibiza - Seeb Remix,Mike Posner
Bath Salts,Travis Hayes
"Nocturne No.1 In B Flat Minor, Op.9 No.1",Frédéric Chopin
Semi-Charmed Life,Third Eye Blind
Mr. Jones,Counting Crows
Two Princes,Spin Doctors
Save Tonight,Eagle-Eye Cherry
Hey Jealousy,Gin Blossoms
Good,Better Than Ezra
If You Could Only See,Tonic
You Get What You Give,New Radicals
Why I'm Here,Oleander
Lump,The Presidents Of The United States Of America
Someday - Remastered,Sugar Ray
All I Want,Toad The Wet Sprocket
Push,Matchbox Twenty
What's Up?,4 Non Blondes
Absolutely (Story of a Girl) - Radio Mix,Nine Days
Roll To Me,Del Amitri
Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls
Inside Out,Eve 6
Blister in the Sun - 2002 Remastered Version,Violent Femmes
Cannonball,The Breeders
Iris,The Goo Goo Dolls
Into Your Arms,The Lemonheads
Mmm Mmm Mmm Mmm,Crash Test Dummies
Hollaback Girl,Gwen Stefani
SexyBack,Justin Timberlake
I Gotta Feeling,The Black Eyed Peas
...Baby One More Time,Britney Spears
Genie In A Bottle (Album Version),Christina Aguilera
Fantasy,Mariah Carey
No Scrubs,TLC
Drive,Incubus
My Own Worst Enemy,Lit
Wannabe - Radio Edit,Spice Girls
Tearin' up My Heart - Radio Edit,*NSYNC
I Try,Macy Gray
Ironic,Alanis Morissette
Learn to Fly,Foo Fighters
Smooth,Santana
I Want It That Way,Backstreet Boys
Truly Madly Deeply,Savage Garden
(You Drive Me) Crazy,Britney Spears
Pretty Fly (For a White Guy),The Offspring
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys
Remember the Time,Michael Jackson
Meet Virginia,Train
Last Kiss,Pearl Jam
Jump,Kris Kross
"Girls, Girls, Girls",Mötley Crüe
Don't Stop Me Now - Remastered 2011,Queen
Coming Around Again,Carly Simon
Hips Don't Lie,Shakira
Don't Cha,The Pussycat Dolls
Every time we touch,Cascada
Where Is The Love?,The Black Eyed Peas
Don't Stop The Music,Rihanna
Survivor,Destiny's Child
Last Friday Night (T.G.I.F.),Katy Perry
"Whenever, Wherever",Shakira
Poker Face,Lady Gaga
Complicated,Avril Lavigne
Das Lied Der Schluempfe,Vader Abraham
Because We Want To,Billie Piper
Cheeky Song (Touch My Bum),The Cheeky Girls
Agadoo - original,Black Lace
Achy Breaky Heart,Billy Ray Cyrus
Jenny from the Block - Track Masters Remix,Jennifer Lopez
Look At Me,Geri Halliwell
(Everything I Do) I Do It For You,Bryan Adams
Against All Odds (Take a Look at Me Now),Mariah Carey
Anyone Can Fall In Love,Anita Dobson
There's No One Quite Like Grandma - 2003 Remastered Version,St. Winifred's School Choir
Earth Song - Remastered Version,Michael Jackson
The Lady In Red,Chris de Burgh
"My Heart Will Go On (Love Theme from ""Titanic"")",Céline Dion
Can I Touch You...There?,Michael Bolton
Lucky,Britney Spears
Believe,Cher
Macarena,Los Del Rio
Boys,Sabrina
Shaddap You Face,Joe Dolce
Ice Ice Baby,Vanilla Ice
Touch Me (I Want Your Body),Samantha Fox
Grandad,Clive Dunn
Puppy Love,Donny Osmond
Girl You Know It's True,Milli Vanilli
Mysterious Girl,Peter Andre
Every Loser Wins,Nick Berry
MMMBop,Hanson
I'd Do Anything For Love (But I Won't Do That),Meat Loaf
"To Roz Bikini (Itsy, Bitsy, Teenie, Weenie)",Polina
Hoochie Mama,2 LIVE CREW
Rockstar,Nickelback
Miracles,Insane Clown Posse
Fuck You Bitch,Wheeler Walker Jr.
Fog On the Tyne,Lindisfarne
Cha Cha Slide,Mr. C
How You Remind Me - LP Mix,Nickelback
Burn It To The Ground,Nickelback
If Today Was Your Last Day,Nickelback
When We Stand Together,Nickelback
Fuck Kd,StaRR Lyfe
Now I Do What I Want,Lil Zay Poppin
300 Violin Orchestra,Jorge Quintero
Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran
Party Monster,The Weeknd
U got 2 believe,Paulo Mendonca
Sah,Al Massrieen
Oh Devil,Electric Guest
Shut Up and Dance,WALK THE MOON
Anna Sun,WALK THE MOON
Work This Body,WALK THE MOON
Tightrope,WALK THE MOON
Different Colors,WALK THE MOON
Avalanche,WALK THE MOON
Jenny,WALK THE MOON
Portugal,WALK THE MOON
Quesadilla,WALK THE MOON
Aquaman,WALK THE MOON
Paris - Pegboard Nerds Remix,The Chainsmokers
Quit You - Wuki Remix,Lost Kings
Don't Let Me Down - Zomboy Remix,The Chainsmokers
Faded - Slushii Remix,Alan Walker
Can't Get Enough - Pegboard Nerds Remix,Tommie Sunshine
Light - Loosid Remix,San Holo
Something Just Like This - ARMNHMR Remix,The Chainsmokers
Without U,Steve Aoki
Hold Up,Borgeous
Phone Down - Dodge & Fuski Remix,Lost Kings
Spoon Me - Slushii Remix,Elliphant
Scared To Be Lonely (Conro Remix),Martin Garrix
Let It Go - Scott Melker & Mister Gray Remix,NERVO
"Call On Me - EDWYNN X TIKAL, Spirix Remix",Starley
Aamon,Kuuro
Hey Baby - Steve Aoki Remix,Dimitri Vegas & Like Mike
Brightside - Borgeous Remix,Icona Pop
Like A Bitch - Kill The Noise Remix,Kill The Noise
Candy,Dillon Francis
Habit - Dack Janiels & Wenzday Remix,Rain Man
First Contact,Twin Moons
I Wanna Get Better,Bleachers
